2657017,043,CHEMISTRY,087,A2,false
2657017,044,BIOLOGY,082,B1,false
2657017,048,PHYSICAL EDUCATION,081,B1,false
2657017,500,WORK EXPERIENCE,---,A1,false
2657017,502,PHY & HEALTH EDUCA,---,A2,false
2657017,503,GENERAL STUDIES,---,A1,false
2657017,"",Result: PASS,"","",false
2657018,301,ENGLISH CORE,042,D2,false
2657018,048,PHYSICAL EDUCATION,063,C2,false
2657018,042,PHYSICS,070,B1,false
2657018,043,CHEMISTRY,063,C2,false
2657018,041,MATHEMATICS,033,D2,false
2657018,500,WORK EXPERIENCE,---,B1,false
2657018,502,PHY & HEALTH EDUCA,---,A2,false
2657018,503,GENERAL STUDIES,---,B1,false
2657018,"",Result: PASS,"","",false
2657019,301,ENGLISH CORE,062,C1,false
2657019,048,PHYSICAL EDUCATION,066,C2,false
2657019,042,PHYSICS,080,A2,false
2657019,043,CHEMISTRY,085,A2,false
2657019,041,MATHEMATICS,079,A2,false
2657019,500,WORK EXPERIENCE,---,A1,false
2657019,502,PHY & HEALTH EDUCA,---,A2,false
2657019,503,GENERAL STUDIES,---,A1,false
2657019,"",Result: PASS,"","",false
2657020,301,ENGLISH CORE,017F,E,false
2657020,048,PHYSICAL EDUCATION,051,D2,false
2657020,042,PHYSICS,002F,E,false
2657020,043,CHEMISTRY,036FT,E,false
2657020,041,MATHEMATICS,003F,E,false
2657020,500,WORK EXPERIENCE,---,B2,false
2657020,502,PHY & HEALTH EDUCA,---,B1,false
2657020,503,GENERAL STUDIES,---,B2,false
2657020,"",Result: FAIL,"","",false
2657021,301,ENGLISH CORE,042,D2,false
2657021,048,PHYSICAL EDUCATION,054,D2,false
2657021,042,PHYSICS,031FT,E,false
2657021,043,CHEMISTRY,039FT,E,false
2657021,041,MATHEMATICS,014F,E,false
2657021,500,WORK EXPERIENCE,---,A2,false
2657021,502,PHY & HEALTH EDUCA,---,A1,false
2657021,503,GENERAL STUDIES,---,B1,false
2657021,"",Result: FAIL,"","",false
2657022,301,ENGLISH CORE,010F,E,false
2657022,048,PHYSICAL EDUCATION,044FT,E,false
2657022,042,PHYSICS,029FT,E,false
2657022,043,CHEMISTRY,034FT,E,false
2657022,041,MATHEMATICS,001F,E,false
2657022,500,WORK EXPERIENCE,---,B1,false
2657022,502,PHY & HEALTH EDUCA,---,A2,false
2657022,503,GENERAL STUDIES,---,B2,false
2657022,"",Result: FAIL,"","",false
2657023,301,ENGLISH CORE,"","",false
2657023,048,PHYSICAL EDUCATION,"","",false
2657023,042,PHYSICS,"","",false
2657023,043,CHEMISTRY,"","",false
2657023,044,BIOLOGY,"","",false
2657023,500,WORK EXPERIENCE,---,"",false
2657023,502,PHY & HEALTH EDUCA,---,"",false
2657023,503,GENERAL STUDIES,---,"",false
2657023,"",Result: ABST,"","",false
2657024,301,ENGLISH CORE,073,B2,false
2657024,048,PHYSICAL EDUCATION,085,A2,false
2657024,042,PHYSICS,061,C1,false
2657024,043,CHEMISTRY,066,C1,false
2657024,041,MATHEMATICS,047,C2,false
2657024,500,WORK EXPERIENCE,---,A2,false
2657024,502,PHY & HEALTH EDUCA,---,A1,false
2657024,503,GENERAL STUDIES,---,A2,false
2657024,"",Result: PASS,"","",false
2657025,301,ENGLISH CORE,055,C2,false
2657025,048,PHYSICAL EDUCATION,054,D2,false
2657025,042,PHYSICS,031FT,E,false
2657025,043,CHEMISTRY,051,D2,false
2657025,041,MATHEMATICS,033,D2,false
2657025,500,WORK EXPERIENCE,---,B1,false
2657025,502,PHY & HEALTH EDUCA,---,A1,false
2657025,503,GENERAL STUDIES,---,A2,false
2657025,"",Result: COMP,"","",false
2657026,301,ENGLISH CORE,023F,E,false
2657026,048,PHYSICAL EDUCATION,058,D1,false
2657026,042,PHYSICS,028FT,E,false
2657026,043,CHEMISTRY,031FT,E,false
2657026,041,MATHEMATICS,013F,E,false
2657026,500,WORK EXPERIENCE,---,B2,false
2657026,502,PHY & HEALTH EDUCA,---,A1,false
2657026,503,GENERAL STUDIES,---,C1,false
2657026,"",Result: FAIL,"","",false
2657027,301,ENGLISH CORE,081,B1,false
2657027,048,PHYSICAL EDUCATION,074,B2,false
2657027,042,PHYSICS,060,C1,false
2657027,043,CHEMISTRY,075,B2,false
2657027,044,BIOLOGY,062,C2,false
2657027,500,WORK EXPERIENCE,---,A2,false
2657027,502,PHY & HEALTH EDUCA,---,A2,false
2657027,503,GENERAL STUDIES,---,A1,false
2657027,"",Result: PASS,"","",false
2657028,301,ENGLISH CORE,074,B2,false
2657028,048,PHYSICAL EDUCATION,081,B1,false
2657028,042,PHYSICS,064,B2,false
2657028,043,CHEMISTRY,082,B1,false
2657028,044,BIOLOGY,079,B2,false
2657028,500,WORK EXPERIENCE,---,A2,false
2657028,502,PHY & HEALTH EDUCA,---,A1,false
2657028,503,GENERAL STUDIES,---,A2,false
2657028,"",Result: PASS,"","",false
2657029,301,ENGLISH CORE,036,D2,false
2657029,048,PHYSICAL EDUCATION,056,D1,false
2657029,042,PHYSICS,051,D2,false
2657029,043,CHEMISTRY,052,D2,false
2657029,041,MATHEMATICS,014F,E,false
2657029,500,WORK EXPERIENCE,---,B1,false
2657029,502,PHY & HEALTH EDUCA,---,A1,false
2657029,503,GENERAL STUDIES,---,A2,false
2657029,"",Result: COMP,"","",false
2657030,301,ENGLISH CORE,078,B1,false
2657030,048,PHYSICAL EDUCATION,085,A2,false
2657030,042,PHYSICS,090,A1,false
2657030,043,CHEMISTRY,080,B1,false
2657030,041,MATHEMATICS,084,A2,false
2657030,500,WORK EXPERIENCE,---,A1,false
2657030,502,PHY & HEALTH EDUCA,---,A1,false
2657030,503,GENERAL STUDIES,---,A1,false
2657030,"",Result: PASS,"","",false
2657031,301,ENGLISH CORE,044,D1,false
2657031,041,MATHEMATICS,033,D2,false
2657031,042,PHYSICS,031FT,E,false
2657031,043,CHEMISTRY,060,C2,false
2657031,048,PHYSICAL EDUCATION,061,D1,false
2657031,500,WORK EXPERIENCE,---,A2,false
2657031,502,PHY & HEALTH EDUCA,---,A2,false
2657031,503,GENERAL STUDIES,---,B1,false
2657031,"",Result: COMP,"","",false
2657032,301,ENGLISH CORE,072,B2,false
2657032,041,MATHEMATICS,095,A1,false
2657032,042,PHYSICS,065,B2,false
2657032,043,CHEMISTRY,083,B1,false
2657032,048,PHYSICAL EDUCATION,088,A1,false
2657032,500,WORK EXPERIENCE,---,A2,false
2657032,502,PHY & HEALTH EDUCA,---,A1,false
2657032,503,GENERAL STUDIES,---,A2,false
2657032,"",Result: PASS,"","",false
2657033,301,ENGLISH CORE,061,C1,false
2657033,041,MATHEMATICS,061,B2,false
2657033,042,PHYSICS,057,C2,false
2657033,043,CHEMISTRY,072,B2,false
2657033,048,PHYSICAL EDUCATION,082,A2,false
2657033,500,WORK EXPERIENCE,---,B1,false
2657033,502,PHY & HEALTH EDUCA,---,A2,false
2657033,503,GENERAL STUDIES,---,A2,false
2657033,034,MUSIC HIND.VOCAL,082,C2,true
2657033,"",Result: PASS,"","",true
2657034,301,ENGLISH CORE,063,C1,false
2657034,041,MATHEMATICS,082,A2,false
2657034,042,PHYSICS,071,B1,false
2657034,043,CHEMISTRY,078,B1,false
2657034,048,PHYSICAL EDUCATION,087,A2,false
2657034,500,WORK EXPERIENCE,---,A1,false
2657034,502,PHY & HEALTH EDUCA,---,A2,false
2657034,503,GENERAL STUDIES,---,A1,false
2657034,"",Result: PASS,"","",false
2657035,301,ENGLISH CORE,041,D2,false
2657035,041,MATHEMATICS,002F,E,false
2657035,042,PHYSICS,034FT,E,false
2657035,043,CHEMISTRY,041FT,E,false
2657035,048,PHYSICAL EDUCATION,053,D2,false
2657035,500,WORK EXPERIENCE,---,B1,false
2657035,502,PHY & HEALTH EDUCA,---,B2,false
2657035,503,GENERAL STUDIES,---,B1,false
2657035,"",Result: FAIL,"","",false
