9613044,"",Result: PASS,"",""
9613045,301,ENGLISH CORE,066,C1
9613045,030,ECONOMICS,073,A2
9613045,041,MATHEMATICS,043,D1
9613045,054,BUSINESS STUDIES,051,C2
9613045,055,ACCOUNTANCY,059,C1
9613045,500,WORK EXPERIENCE,---,A1
9613045,502,PHY & HEALTH EDUCA,---,B2
9613045,503,GENERAL STUDIES,---,A2
9613045,Additional Subject
9613045,048,PHYSICAL EDUCATION,068,C1
9613045,"",Result: PASS,"",""
9613046,301,ENGLISH CORE,034,D2
9613046,030,ECONOMICS,070,B1
9613046,041,MATHEMATICS,043,D1
9613046,054,BUSINESS STUDIES,048,D1
9613046,055,ACCOUNTANCY,046,D1
9613046,500,WORK EXPERIENCE,---,B1
9613046,502,PHY & HEALTH EDUCA,---,A2
9613046,503,GENERAL STUDIES,---,A1
9613046,Additional Subject
9613046,048,PHYSICAL EDUCATION,061,D1
9613046,"",Result: PASS,"",""
9613047,301,ENGLISH CORE,056,C2
9613047,030,ECONOMICS,060,B2
9613047,041,MATHEMATICS,053,C1
9613047,054,BUSINESS STUDIES,055,C2
9613047,055,ACCOUNTANCY,045,D1
9613047,500,WORK EXPERIENCE,---,A1
9613047,502,PHY & HEALTH EDUCA,---,B1
9613047,503,GENERAL STUDIES,---,A2
9613047,Additional Subject
9613047,048,PHYSICAL EDUCATION,074,B2
9613047,"",Result: PASS,"",""
9613048,301,ENGLISH CORE,012F,E
9613048,030,ECONOMICS,013F,E
9613048,041,MATHEMATICS,015F,E
9613048,054,BUSINESS STUDIES,022FT,E
9613048,055,ACCOUNTANCY,021FT,E
9613048,500,WORK EXPERIENCE,---,A2
9613048,502,PHY & HEALTH EDUCA,---,B2
9613048,503,GENERAL STUDIES,---,B2
9613048,Additional Subject
9613048,048,PHYSICAL EDUCATION,049,D2
9613048,"",Result: FAIL,"",""
9613049,301,ENGLISH CORE,033,D2
9613049,030,ECONOMICS,041,C2
9613049,041,MATHEMATICS,037,D1
9613049,054,BUSINESS STUDIES,043,D2
9613049,055,ACCOUNTANCY,046,D1
9613049,500,WORK EXPERIENCE,---,B2
9613049,502,PHY & HEALTH EDUCA,---,B2
9613049,503,GENERAL STUDIES,---,B1
9613049,Additional Subject
9613049,048,PHYSICAL EDUCATION,057,D1
9613049,"",Result: PASS,"",""
9613050,301,ENGLISH CORE,043,D1
9613050,030,ECONOMICS,039,D1
9613050,041,MATHEMATICS,033,D2
9613050,048,PHYSICAL EDUCATION,066,C2
9613050,054,BUSINESS STUDIES,042,D2
9613050,500,WORK EXPERIENCE,---,B1
9613050,502,PHY & HEALTH EDUCA,---,A2
9613050,503,GENERAL STUDIES,---,B1
9613050,Additional Subject
9613050,055,ACCOUNTANCY,018 FT,E
9613050,"",Result: PASS,"",""
9613051,301,ENGLISH CORE,055,C2
9613051,002,HINDI ELECTIVE,086,A1
9613051,030,ECONOMICS,050,C1
9613051,054,BUSINESS STUDIES,061,C1
9613051,055,ACCOUNTANCY,046,D1
9613051,500,WORK EXPERIENCE,---,B2
9613051,502,PHY & HEALTH EDUCA,---,A1
9613051,503,GENERAL STUDIES,---,B1
9613051,Additional Subject
9613051,048,PHYSICAL EDUCATION,064,C2
9613051,"",Result: PASS,"",""
9613052,301,ENGLISH CORE,043,D1
9613052,002,HINDI ELECTIVE,065,B1
9613052,030,ECONOMICS,039,D1
9613052,054,BUSINESS STUDIES,042,D2
9613052,055,ACCOUNTANCY,043,D2
9613052,500,WORK EXPERIENCE,---,A2
9613052,502,PHY & HEALTH EDUCA,---,B1
9613052,503,GENERAL STUDIES,---,A1
9613052,Additional Subject
9613052,048,PHYSICAL EDUCATION,065,C2
9613052,"",Result: PASS,"",""
9613053,301,ENGLISH CORE,033,D2
9613053,002,HINDI ELECTIVE,054,C1
9613053,048,PHYSICAL EDUCATION,053,D2
9613053,054,BUSINESS STUDIES,037,D2
9613053,055,ACCOUNTANCY,025FT,E
9613053,500,WORK EXPERIENCE,---,C1
9613053,502,PHY & HEALTH EDUCA,---,B2
9613053,503,GENERAL STUDIES,---,A2
9613053,Additional Subject
9613053,030,ECONOMICS,012 F,E
9613053,"",Result: COMP,"",""
9613054,301,ENGLISH CORE,052,C2
9613054,002,HINDI ELECTIVE,084,A1
9613054,030,ECONOMICS,033,D2
9613054,054,BUSINESS STUDIES,051,C2
9613054,055,ACCOUNTANCY,055,C2
9613054,500,WORK EXPERIENCE,---,B1
9613054,502,PHY & HEALTH EDUCA,---,B2
9613054,503,GENERAL STUDIES,---,A2
9613054,Additional Subject
9613054,048,PHYSICAL EDUCATION,066,C2
9613054,"",Result: PASS,"",""
9613055,301,ENGLISH CORE,050,D1
9613055,002,HINDI ELECTIVE,073,A2
9613055,027,HISTORY,062,A2
9613055,028,POLITICAL SCIENCE,033,D2
9613055,064,HOME SCIENCE,071,B1
9613055,500,WORK EXPERIENCE,---,B2
9613055,502,PHY & HEALTH EDUCA,---,B1
9613055,503,GENERAL STUDIES,---,B2
9613055,Additional Subject
9613055,048,PHYSICAL EDUCATION,068,C1
9613055,"",Result: PASS,"",""
9613056,002,HINDI ELECTIVE,054,C1
9613056,027,HISTORY,042,C2
9613056,028,POLITICAL SCIENCE,033,D2
9613056,048,PHYSICAL EDUCATION,050,D2
9613056,064,HOME SCIENCE,061,C1
9613056,500,WORK EXPERIENCE,---,B1
9613056,502,PHY & HEALTH EDUCA,---,B1
9613056,503,GENERAL STUDIES,---,A2
9613056,Additional Subject
9613056,301,ENGLISH CORE,013 F,E
9613056,"",Result: PASS,"",""
9613057,301,ENGLISH CORE,070,B2
9613057,002,HINDI ELECTIVE,089,A1
9613057,027,HISTORY,047,C1
9613057,028,POLITICAL SCIENCE,064,B1
9613057,064,HOME SCIENCE,084,A1
9613057,500,WORK EXPERIENCE,---,A1
9613057,502,PHY & HEALTH EDUCA,---,B2
9613057,503,GENERAL STUDIES,---,A1
9613057,Additional Subject
9613057,048,PHYSICAL EDUCATION,074,B2
9613057,"",Result: PASS,"",""
9613058,301,ENGLISH CORE,043,D1
9613058,002,HINDI ELECTIVE,062,B1
9613058,027,HISTORY,065,A2
9613058,028,POLITICAL SCIENCE,034,D1
9613058,064,HOME SCIENCE,071,B1
9613058,500,WORK EXPERIENCE,---,B1
9613058,502,PHY & HEALTH EDUCA,---,B1
9613058,503,GENERAL STUDIES,---,A1
9613058,Additional Subject
9613058,048,PHYSICAL EDUCATION,065,C2
9613058,"",Result: PASS,"",""
9613059,301,ENGLISH CORE,043,D1
9613059,002,HINDI ELECTIVE,079,A1
9613059,027,HISTORY,075,A1
9613059,028,POLITICAL SCIENCE,044,C2
9613059,064,HOME SCIENCE,093,A1
9613059,500,WORK EXPERIENCE,---,A2
9613059,502,PHY & HEALTH EDUCA,---,B2
9613059,503,GENERAL STUDIES,---,A1
9613059,Additional Subject
9613059,048,PHYSICAL EDUCATION,068,C1
9613059,"",Result: PASS,"",""
9613060,301,ENGLISH CORE,044,D1
9613060,002,HINDI ELECTIVE,060,B2
9613060,027,HISTORY,039,D1
9613060,028,POLITICAL SCIENCE,033,D2
9613060,064,HOME SCIENCE,066,B2
9613060,500,WORK EXPERIENCE,---,C1
